701+,,Universidad Autonoma de Nuevo Leon (UANL)
701+,,Universidad de la Habana
701+,,Universidad de La Sabana
701+,,Universidad de las Américas Puebla (UDLAP)
701+,,Universidad de los Andes Mérida
701+,,University of Murcia
701+,,Universidad de Puerto Rico
701+,,Universidad San Francisco de Quito (USFQ)
701+,,Universidad de Talca
701+,,Universidad del Norte
701+,,Colegio Mayor de Nuestra Senora del Rosario
701+,,Universidad del Valle
701+,,Universidad Industrial de Santander
701+,,Universidad Nacional de Cuyo
701+,,Universidad Nacional de Rosario
701+,,Universidad Nacional de Tucumán
701+,,Universidad Nacional del Sur
701+,,Universidad Nacional Mayor de San Marcos
701+,,Universidad Técnica Federico Santa María (USM)
701+,,Universidad Tecnológica Nacional (UTN)
701+,,Universidade do Estado do Rio de Janeiro (UERJ)
701+,,Universidade Estadual de Londrina
701+,,Universidade Federal de Santa Maria
701+,,Universidade Federal do Ceará (UFC)
701+,,Universidade Federal de Pernambuco(UFPE)
701+,,Ca' Foscari University of Venice
701+,,Catania University
701+,,Università degli Studi Roma Tre
701+,,Université Charles-de-Gaulle Lille 3
701+,,Université de Caen Basse-Normandie
701+,,Université de Cergy-Pontoise
701+,,Université de Poitiers
701+,,Université Jean Moulin Lyon 3
701+,,Université Lille 2 Droit et Santé
701+,,Université Paris Ouest Nanterre La Défense
701+,,Universit Paul-Valery Montpellier 3
701+,,Université Pierre Mendès France - Grenoble 2
701+,,Université Stendhal Grenoble 3
701+,,Université de Toulouse II-Le Mirail
701+,,Universiti Teknologi MARA - UiTM
701+,,University of Arkansas
701+,,University of Baghdad
701+,,University of Bahrain
701+,,University of Bari
701+,,University of Belgrade
701+,,University of Brawijaya
701+,,University of Brescia
701+,,University of Bucharest
701+,,University of Calcutta
701+,,University of Central Lancashire
701+,,University of Colombo
701+,,University of Dhaka
701+,,University of East London
701+,,University of Engineering & Technology (UET) Lahore
701+,,University of Greenwich
701+,,University of Jordan
701+,,University of Karachi
701+,,The University of Lahore
701+,,University of Latvia
701+,,University of New England Australia
701+,,University of Pune
701+,,University of San Diego
701+,,University of San Francisco
701+,,University of Santo Tomas
701+,,University of Southern Queensland
701+,,University of the Pacific
701+,,University of Tulsa
701+,,University of Windsor
701+,,University of Wroclaw
701+,,Verona University
701+,,Victoria University
701+,,Vilnius Gediminas Technical University
701+,,Voronezh State University
701+,,Vytautas Magnus University
701+,,Universitatea de Vest din Timisoara /  West University of Timisoara
