Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Technology, Kharagpur"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Maiti, Mrinal Kumar",26,2017,162,6.2,0.73,14.0,7005401626,http://www.scopus.com/authid/detail.url?authorId=7005401626
"Maiti, Sandip C.",26,2016,334,12.8,1.75,11.0,55002904800,http://www.scopus.com/authid/detail.url?authorId=55002904800
"Mandal, Mahitosh",26,2017,107,4.1,1.52,7.0,57072773700,http://www.scopus.com/authid/detail.url?authorId=57072773700
"Nelakanti, Gnaneshwar",26,2017,42,1.6,0.41,6.0,16305001200,http://www.scopus.com/authid/detail.url?authorId=16305001200
"Rao, Pavulurisrinivasa",26,2017,166,6.4,1.40,10.0,7404661993,http://www.scopus.com/authid/detail.url?authorId=7404661993
"Sarkar, Dipankar",26,2016,83,3.2,1.35,8.0,56263537600,http://www.scopus.com/authid/detail.url?authorId=56263537600
"Singh, Nem D Pradeep",26,2017,223,8.6,1.25,13.0,15844144600,http://www.scopus.com/authid/detail.url?authorId=15844144600
"Suar, Damodar",26,2017,54,2.1,0.42,12.0,6507974724,http://www.scopus.com/authid/detail.url?authorId=6507974724
"Banerjee, Kunal",25,2016,59,2.4,1.44,5.0,55321714500,http://www.scopus.com/authid/detail.url?authorId=55321714500
"Das, Soumen",25,2017,112,4.5,0.64,9.0,8691781400,http://www.scopus.com/authid/detail.url?authorId=8691781400
"Kundu, Niloy R.",25,2016,143,5.7,1.13,9.0,7006103990,http://www.scopus.com/authid/detail.url?authorId=7006103990
"Maity, Rajib",25,2017,67,2.7,0.75,9.0,13608874700,http://www.scopus.com/authid/detail.url?authorId=13608874700
"Mandal, Nisith Ranjan",25,2017,91,3.6,0.80,9.0,35311494700,http://www.scopus.com/authid/detail.url?authorId=35311494700
"Mitra, Adinpunya",25,2017,107,4.3,1.20,18.0,7402543434,http://www.scopus.com/authid/detail.url?authorId=7402543434
"Mukhopadhyay, Partha",25,2016,45,1.8,0.78,4.0,25634200300,http://www.scopus.com/authid/detail.url?authorId=25634200300
"Naikan, Vallayil Narayana Achutha",25,2016,30,1.2,1.14,6.0,6506383148,http://www.scopus.com/authid/detail.url?authorId=6506383148
"Nanda, Samik",25,2017,172,6.9,0.70,15.0,7102719202,http://www.scopus.com/authid/detail.url?authorId=7102719202
"Panda, Sudhindra Nath",25,2016,184,7.4,1.21,18.0,7201766576,http://www.scopus.com/authid/detail.url?authorId=7201766576
"Ray, Pradip Kumar",25,2017,139,5.6,1.09,10.0,55424774500,http://www.scopus.com/authid/detail.url?authorId=55424774500
"Samantaray, Arun Kumar",25,2017,82,3.3,1.00,17.0,55974023700,http://www.scopus.com/authid/detail.url?authorId=55974023700
"Sarmah, Sarada Prasad",25,2017,138,5.5,1.27,11.0,14825877000,http://www.scopus.com/authid/detail.url?authorId=14825877000
"Satyanarayana, Any N V",25,2016,100,4.0,0.68,8.0,7006685850,http://www.scopus.com/authid/detail.url?authorId=7006685850
"Shrivastava, Nilesh Kumar",25,2016,367,14.7,1.69,12.0,47861423400,http://www.scopus.com/authid/detail.url?authorId=47861423400
"Srivastava, Parmeshwary Dayal",25,2017,55,2.2,0.92,5.0,23398608200,http://www.scopus.com/authid/detail.url?authorId=23398608200
"Chakrabarti, Saswat",24,2015,80,3.3,0.60,10.0,55578076200,http://www.scopus.com/authid/detail.url?authorId=55578076200
"Chakraborty, Debjani",24,2017,83,3.5,0.90,13.0,7102947002,http://www.scopus.com/authid/detail.url?authorId=7102947002
"Chowdhury, Dipanwita Roy",24,2016,27,1.1,1.06,8.0,7103205998,http://www.scopus.com/authid/detail.url?authorId=7103205998
"Das, Amit Kumar",24,2017,69,2.9,0.72,5.0,55860800725,http://www.scopus.com/authid/detail.url?authorId=55860800725
"Dash, Sukanta Kumar",24,2017,122,5.1,1.70,17.0,55418089700,http://www.scopus.com/authid/detail.url?authorId=55418089700
"Deb, Alok Kanti",24,2016,17,0.7,1.13,4.0,24721147100,http://www.scopus.com/authid/detail.url?authorId=24721147100
"Deb, Kousik",24,2017,85,3.5,0.84,10.0,15729284400,http://www.scopus.com/authid/detail.url?authorId=15729284400
