# RANK     2014,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
288,Universität Innsbruck,42.9,46.2,47.9,27.5,94.9,98.7,22
289,Universität  Leipzig,42.3,43.8,24.6,13.5,16.5,31,85.8
290,University of Victoria,42.2,37.9,23.4,15.8,87.6,35,76.5
290,École des Ponts ParisTech,42.2,20.6,68.8,98.5,29,96.2,5.2
292,Ben Gurion University of The Negev,42.1,32,37.7,67.8,82.3,39.6,29.1
293,University of Porto,42,56.2,46.7,24.4,9,11.7,44.1
294,Arizona State University,41.9,55.8,34.6,13.1,10.9,20.9,59.2
294,Kobe University,41.9,43.7,39.9,63.9,10.6,14,31.7
294,Universiti Teknologi Malaysia,41.9,40.5,37.6,70.5,60.6,76.7,4.3
294,Tokyo Medical and Dental University (TMDU),41.9,18.7,11.9,100,5.4,17.1,60.2
298,Universitat Pompeu Fabra,41.7,44.9,29.1,32.8,67.6,39.7,43.9
298,Laval University,41.7,37.6,43.1,34.5,55.8,36.8,53.6
300,Indian Institute of Technology Kanpur (IITK),41.6,52,61.1,32.5,3.6,1.6,39
300,George Washington University,41.6,41.7,53.2,40.4,5.1,49.9,43.6
300,Johannes Gutenberg Universität Mainz,41.6,38.6,40.3,15.5,38.8,33.9,76.6
300,University at Buffalo SUNY,41.6,28.3,12.2,19.1,58.6,71.7,93.1
304,RMIT University,41.5,38.2,88.5,25.3,100,97.6,11.9
305,"University of Rome ""Tor Vergata""",41.3,52.5,30.5,10.8,5,21.7,68.2
305,University of Cologne,41.3,51,69.4,20.9,19.2,31.1,36
305,Al-Farabi Kazakh National University,41.3,47.5,32.9,84,25.8,12.1,1.1
308,University of Southern Denmark,41.1,31.8,36.6,50,67.2,54.3,42.6
309,Universiti Sains Malaysia (USM),41,55.3,46.4,39.9,24.5,30,17.4
310,Universitas Indonesia,40.9,51.3,65.5,55.7,40.3,5,1.7
310,Universität Konstanz,40.9,48.4,20.5,44.6,56.4,35.3,29.4
312,Universidade Nova de Lisboa,40.8,43.4,53.7,49.8,41,32.6,21.6
313,University of Utah,40.7,20.2,20.8,46.5,31.1,28.6,90.8
314,Hiroshima University,40.5,36.6,9.2,88.5,12.1,14.3,29.2
314,University of Surrey,40.5,30.8,33.2,41.9,94.2,98.3,34
316,Universidad Nacional de Colombia,40.4,65,85.6,20.3,12.3,1.6,5.1
316,Brandeis University,40.4,22.3,30.2,40.3,20.6,73.3,78.2
318,University of the Witwatersrand,40.3,46.5,46.6,28.6,74.9,31.3,29.7
318,University of Jyväskylä,40.3,34.3,21.1,91.2,38.9,11.9,18
318,Hong Kong Baptist University,40.3,26.9,24.1,63.5,95.3,77.6,28.5
321,Sun Yat-sen University,40.2,50.7,47.1,24.1,32.2,10.2,41
322,Indian Institute of Technology Madras (IITM),40.1,43.4,71.5,26.9,3.9,1.1,49.2
322,Bauman Moscow State Technical University,40.1,31.8,65.8,100,1.6,8.8,1.1
324,Indian Institute of Technology Kharagpur (IIT-KGP),40,40.3,70,23,1.3,1,60.3
324,Griffith University,40,39.8,52.9,26.8,96.3,77.8,23.1
324,L.N. Gumilyov Eurasian National University (ENU),40,37.3,30.2,99.8,28,7.7,1.2
324,University of Hawai'i at Mañoa,40,26.4,12.5,71,51,30.3,49.3
328,Nankai University,39.9,45.6,39.1,45,14.2,13.6,36.3
328,Novosibirsk State University,39.9,36.7,39.2,85.8,7.3,41.1,8.1
328,Universität Mannheim,39.9,32,89.1,22.5,34.7,30,51.6
331,SOAS University of London,39.8,37.8,36.7,50.2,100,100,4.3
331,Curtin University,39.8,36.7,54.9,27.9,100,98.4,20.3
333,University of South Australia,39.7,34.1,62.5,36.5,100,62.6,21.6
334,King Abdulaziz University (KAU),39.6,38.3,33,63,91.3,58.6,4
335,University of Warsaw,39.5,52.7,65.5,39.4,15.9,17.9,11.1
335,Wuhan University,39.5,52,51,29.8,54.1,15,20.3
337,Universitat Politècnica de Catalunya,39.3,41.6,40.9,62.6,11.1,36.5,17.9
338,Ecole Normale Supérieure de Cachan,39.2,27.9,13.6,91,22.1,34.3,28
338,University of Tromsø The Arctic University of Norway,39.2,23.3,0,97.6,30.8,28.3,36.4
338,Wake Forest University,39.2,9.8,0,99.5,7.9,13.5,71.2
341,Aix-Marseille University,39.1,56.1,20.8,27.7,7.5,45.3,31.7
341,"City, University of London",39.1,35.6,70.9,25.4,88.4,100,15.9
341,Boston College,39.1,33.6,53.5,34.5,88.7,29.2,37
341,Julius-Maximilians-Universität Würzburg,39.1,32.5,21.3,34.4,34.5,16.3,72.3
345,University of Naples - Federico II,39,48.9,28.6,7.3,2,1.8,74
346,Massey University,38.9,39.7,44.6,36.1,92,44.5,22.3
347,Pontificia Universidad Javeriana,38.8,55.2,77.8,37.5,10.2,4.9,2.9
348,Universität Bremen,38.5,41.2,36.8,55.2,38.3,35.3,17.7
