University,N&S-16,N&S-17,,,,,,,
University of Lausanne,23.5,21.9,,,1.6,0.0680851064,0.0046355817,,0.0680851064
University of Hawaii at Manoa,21.5,21.6,,,-0.1,-0.0046511628,2.16333153055712E-005,,0.0046511628
Vanderbilt University,20.4,21.6,,,-1.2,-0.0588235294,0.0034602076,,0.0588235294
University of Hamburg,21.7,21.5,,,0.2,0.0092165899,8.49455286797335E-005,,0.0092165899
Oregon State University,23.5,21.2,,,2.3,0.0978723404,0.009578995,,0.0978723404
Stockholm University,21.2,21.2,,,0,0,0,,0
The Ohio State University - Columbus,20.8,21.2,,,-0.4,-0.0192307692,0.0003698225,,0.0192307692
King's College London,19.6,21.1,,,-1.5,-0.0765306122,0.0058569346,,0.0765306122
Stony Brook University,19.6,20.9,,,-1.3,-0.0663265306,0.0043992087,,0.0663265306
University of Southern California,23.4,20.8,,,2.6,0.1111111111,0.012345679,,0.1111111111
University of Vienna,22.6,20.7,,,1.9,0.0840707965,0.0070678988,,0.0840707965
Leiden University,21,20.7,,,0.3,0.0142857143,0.0002040816,,0.0142857143
The University of Texas M. D. Anderson Cancer Center,22.3,20.6,,,1.7,0.0762331839,0.0058114983,,0.0762331839
National University of Singapore,19.4,20.6,,,-1.2,-0.0618556701,0.0038261239,,0.0618556701
University of Bonn,21.5,20.5,,,1,0.0465116279,0.0021633315,,0.0465116279
University of Leeds,21,20.5,,,0.5,0.0238095238,0.0005668934,,0.0238095238
University of Amsterdam,18.5,20.4,,,-1.9,-0.1027027027,0.0105478451,,0.1027027027
Claude Bernard University Lyon 1,19.4,20.3,,,-0.9,-0.0463917526,0.0021521947,,0.0463917526
University of Frankfurt,21.9,20.2,,,1.7,0.0776255708,0.0060257292,,0.0776255708
Pompeu Fabra University,19.7,20.1,,,-0.4,-0.0203045685,0.0004122755,,0.0203045685
Brown University,22.6,19.9,,,2.7,0.1194690265,0.0142728483,,0.1194690265
Radboud University Nijmegen,21,19.5,,,1.5,0.0714285714,0.0051020408,,0.0714285714
University of Groningen,20.6,19.5,,,1.1,0.0533980583,0.0028513526,,0.0533980583
University of Florida,20.2,19.5,,,0.7,0.0346534653,0.0012008627,,0.0346534653
"University of California, Riverside",22.1,19.4,,,2.7,0.1221719457,0.0149259843,,0.1221719457
