University,Teaching-16,Teaching-17,,,B2-C2,D2/B2,,,,ABS()
Australian National UniversityAustralia,54.7,54,,,0.7,0.012797075,0.0001637651,,,0.012797075
Scuola Normale Superiore di PisaItaly,54.2,54,,,0.2,0.0036900369,1.36163723260853E-005,,,0.0036900369
"Pohang University of Science and TechnologyKorea, Republic of",49.1,53.8,,,-4.7,-0.0957230143,0.0091628955,,,0.0957230143
"Sungkyunkwan University (SKKU)Korea, Republic of",51.4,53.7,,,-2.3,-0.0447470817,0.0020023013,,,0.0447470817
University of VirginiaUnited States,38.8,53.7,,,-14.9,-0.3840206186,0.1474718355,,,0.3840206186
University of FloridaUnited States,51.8,53.6,,,-1.8,-0.0347490347,0.0012074954,,,0.0347490347
RWTH Aachen UniversityGermany,49.4,53.3,,,-3.9,-0.0789473684,0.006232687,,,0.0789473684
Hong Kong University of Science and TechnologyHong Kong,49.4,53.2,,,-3.8,-0.0769230769,0.0059171598,,,0.0769230769
Texas A&M UniversityUnited States,49.4,53.1,,,-3.7,-0.0748987854,0.0056098281,,,0.0748987854
Pierre and Marie Curie UniversityFrance,52.8,52.9,,,-0.1,-0.0018939394,0.000003587,,,0.0018939394
Emory UniversityUnited States,48.3,52.9,,,-4.6,-0.0952380952,0.0090702948,,,0.0952380952
Osaka UniversityJapan,46.8,52.6,,,-5.8,-0.1239316239,0.0153590474,,,0.1239316239
"University of California, Santa BarbaraUnited States",52.6,52.2,,,0.4,0.0076045627,5.78293744307417E-005,,,0.0076045627
Chinese University of Hong KongHong Kong,41.5,52.2,,,-10.7,-0.2578313253,0.0664769923,,,0.2578313253
